x,y,label
-0.03355,0.4166,extra contig
-0.01525,0.6813,extra contig
-0.01396,0.4761,extra contig
-0.005953,0.411,extra contig
0.02063,0.2667,extra contig
0.03099,0.7896,extra contig
0.06214,0.7118,extra contig
0.06686,0.5069,extra contig
0.07659,0.672,extra contig
0.08269,0.5846,extra contig
0.07837,0.8325,extra contig
0.09074,0.2544,extra contig
0.09603,0.3456,extra contig
0.1097,0.1069,extra contig
0.09945,0.7574,extra contig
0.1027,0.4879,extra contig
0.1019,0.5368,extra contig
0.1234,0.3546,extra contig
0.1142,0.7471,extra contig
0.1434,0.7178,extra contig
0.1908,0.0365,extra contig
0.1773,0.743,extra contig
0.1773,0.9445,extra contig
0.1916,0.3204,extra contig
0.1848,0.9044,extra contig
0.2034,0.3641,extra contig
0.2288,0.02333,extra contig
0.2398,0.2481,extra contig
0.2292,0.8554,extra contig
0.249,0.5736,extra contig
0.2718,0.1863,extra contig
0.281,0.3849,extra contig
0.2715,0.9308,extra contig
0.2821,0.6466,extra contig
0.2925,0.1187,extra contig
0.3028,-0.01082,extra contig
0.2914,0.972,extra contig
0.3096,0.05768,extra contig
0.3021,1.015,extra contig
0.305,1.043,extra contig
0.3295,-0.0302,extra contig
0.3414,0.3349,extra contig
0.3327,0.8334,extra contig
0.3567,0.1137,extra contig
0.375,0.447,extra contig
0.3802,0.2816,extra contig
0.3869,0.09284,extra contig
0.3823,0.354,extra contig
0.3869,0.157,extra contig
0.4182,0.1377,extra contig
0.4154,0.7581,extra contig
0.4224,0.4909,extra contig
0.4652,0.268,extra contig
0.4679,0.507,extra contig
0.4627,1.003,extra contig
0.4764,0.4157,extra contig
0.4847,0.1992,extra contig
0.4978,0.3068,extra contig
0.4949,0.666,extra contig
0.5172,0.1548,extra contig
0.512,0.9381,extra contig
0.5382,0.157,extra contig
0.5356,0.569,extra contig
0.5281,1.066,extra contig
0.5406,0.6106,extra contig
0.543,0.8647,extra contig
0.5445,0.9099,extra contig
0.5639,0.1953,extra contig
0.5547,0.6582,extra contig
0.5801,0.02593,extra contig
0.5667,0.8218,extra contig
0.5748,0.778,extra contig
0.5734,0.9838,extra contig
0.5692,1.076,extra contig
0.589,0.001856,extra contig
0.5919,0.4293,extra contig
0.5825,1.018,extra contig
0.5962,0.7721,extra contig
0.59,0.9945,extra contig
0.6153,0.3343,extra contig
0.6287,0.02489,extra contig
0.6335,0.407,extra contig
0.6531,-0.0612,extra contig
0.6457,0.3681,extra contig
0.6376,0.9646,extra contig
0.6627,0.178,extra contig
0.6609,0.5449,extra contig
0.6598,1,extra contig
0.7103,0.759,extra contig
0.7251,0.4142,extra contig
0.7434,0.01835,extra contig
0.765,0.2271,extra contig
0.7527,0.9956,extra contig
0.7679,0.2587,extra contig
0.7664,0.476,extra contig
0.7788,0.5539,extra contig
0.776,0.9127,extra contig
0.7962,0.1458,extra contig
0.792,0.5171,extra contig
0.8061,0.5617,extra contig
0.8118,0.3689,extra contig
0.8204,0.1397,extra contig
0.8237,0.07986,extra contig
0.8187,0.8254,extra contig
0.8226,0.9995,extra contig
0.8259,0.9381,extra contig
0.8401,0.7842,extra contig
0.8531,0.1693,extra contig
0.8614,0.2813,extra contig
0.8849,0.1843,extra contig
0.8756,0.7158,extra contig
0.8857,0.4031,extra contig
0.8864,0.6234,extra contig
0.8967,0.3615,extra contig
0.8998,0.5147,extra contig
0.8959,0.6741,extra contig
0.9131,0.7389,extra contig
0.9413,0.3654,extra contig
0.9432,0.4563,extra contig
0.9534,0.1996,extra contig
0.9824,0.7916,extra contig
0.9991,0.7972,extra contig
1.032,0.2689,extra contig
1.051,0.5998,extra contig
0.7039,-0.03563,extra contig
0.5695,-0.07508,extra contig
0.4187,-0.04904,extra contig
0.4543,0.03128,extra contig
0.4736,0.05267,extra contig
0.4976,0.05066,extra contig
0.2855,0.09228,extra contig
0.1435,0.1138,extra contig
0.1239,0.1158,extra contig
-0.03723,0.4844,extra contig
-0.02667,0.5034,extra contig
0.3712,0.8001,extra contig
0.3846,0.7815,extra contig
0.4365,1.057,extra contig
0.4339,1.076,extra contig
0.7292,0.7628,extra contig
0.9885,0.5106,extra contig
0.9945,0.5365,extra contig
1.06,0.5234,extra contig
1.068,0.547,extra contig
1.059,0.6971,extra contig
0.541,-0.06844,extra contig
0.4493,0.1932,extra contig
0.4621,0.2121,extra contig
0.6022,0.6695,extra contig
0.5888,0.6881,extra contig
"0.1373, 0.07920",,No_contig
"0.1387, 0.8561",,No_contig
"0.3988, 0.001029",,No_contig
"0.4861, 0.7101",,No_contig
"0.6018, 0.3885",,No_contig
"0.8300, 0.5722",,No_contig
"0.9792, 0.2296",,No_contig
"1.079, 0.3833",,No_contig
"1.220, 0.3698",,No_contig
"1.216, 0.5667",,No_contig
"1.235, 0.3683",,No_contig
"1.232, 0.5643",,No_contig
"-0.03749, 0.5213",,single pair
"-0.03285, 0.5558",,single pair
"-0.02564, 0.3834",,single pair
"-0.02748, 0.6045",,single pair
"-0.02064, 0.4320",,single pair
"-0.01522, 0.5745",,single pair
"-0.01604, 0.6456",,single pair
"-0.009990, 0.5276",,single pair
"-0.01652, 0.6755",,single pair
"-0.008695, 0.3335",,single pair
"-0.005650, 0.4892",,single pair
"0.002398, 0.3921",,single pair
"0.002883, 0.2985",,single pair
"-0.003017, 0.7137",,single pair
"0.004990, 0.3584",,single pair
"0.005098, 0.4464",,single pair
"0.01175, 0.2574",,single pair
"0.01037, 0.5814",,single pair
"0.005675, 0.6350",,single pair
"0.01090, 0.6714",,single pair
"0.01128, 0.5459",,single pair
"0.01883, 0.4955",,single pair
"0.01364, 0.7442",,single pair
"0.02751, 0.2310",,single pair
"0.02659, 0.3958",,single pair
"0.02608, 0.5978",,single pair
"0.02996, 0.3010",,single pair
"0.02634, 0.3335",,single pair
"0.02166, 0.7050",,single pair
"0.01901, 0.3593",,single pair
"0.02945, 0.4619",,single pair
"0.02440, 0.7736",,single pair
"0.03632, 0.6482",,single pair
"0.03572, 0.6873",,single pair
"0.04089, 0.5253",,single pair
"0.04850, 0.2641",,single pair
"0.04524, 0.4321",,single pair
"0.04458, 0.4834",,single pair
"0.05201, 0.1863",,single pair
"0.04584, 0.5954",,single pair
"0.05112, 0.6306",,single pair
"0.04309, 0.7528",,single pair
"0.04234, 0.8055",,single pair
"0.05224, 0.2282",,single pair
"0.05284, 0.3150",,single pair
"0.04879, 0.5576",,single pair
"0.05499, 0.3621",,single pair
"0.05204, 0.3900",,single pair
"0.06646, 0.1572",,single pair
"0.05455, 0.7310",,single pair
"0.06261, 0.6738",,single pair
"0.06926, 0.4744",,single pair
"0.07550, 0.1952",,single pair
"0.06357, 0.8377",,single pair
"0.07421, 0.4272",,single pair
"0.07400, 0.6173",,single pair
"0.07025, 0.7577",,single pair
"0.06601, 0.7964",,single pair
"0.07843, 0.2445",,single pair
"0.07815, 0.3191",,single pair
"0.07298, 0.5574",,single pair
"0.08344, 0.3663",,single pair
"0.07522, 0.3933",,single pair
"0.08811, 0.1425",,single pair
"0.08373, 0.2839",,single pair
"0.08174, 0.5263",,single pair
"0.08527, 0.6471",,single pair
"0.08693, 0.7030",,single pair
"0.09080, 0.4810",,single pair
"0.09990, 0.2152",,single pair
"0.09050, 0.8598",,single pair
"0.1019, 0.4496",,single pair
"0.1009, 0.6154",,single pair
"0.09151, 0.8077",,single pair
"0.1071, 0.3188",,single pair
"0.1086, 0.3871",,single pair
"0.1006, 0.5697",,single pair
"0.09729, 0.7260",,single pair
"0.1113, 0.1853",,single pair
"0.1040, 0.4167",,single pair
"0.1125, 0.1299",,single pair
"0.1028, 0.1553",,single pair
"0.1082, 0.2801",,single pair
"0.1019, 0.8869",,single pair
"0.1055, 0.6542",,single pair
"0.1078, 0.8287",,single pair
"0.1186, 0.2554",,single pair
"0.1277, 0.09226",,single pair
"0.1269, 0.4614",,single pair
"0.1239, 0.5966",,single pair
"0.1192, 0.7831",,single pair
"0.1274, 0.3228",,single pair
"0.1236, 0.5148",,single pair
"0.1197, 0.7094",,single pair
"0.1376, 0.1818",,single pair
"0.1333, 0.2195",,single pair
"0.1317, 0.4002",,single pair
"0.1295, 0.5592",,single pair
"0.1338, 0.3008",,single pair
"0.1263, 0.8583",,single pair
"0.1247, 0.9007",,single pair
"0.1375, 0.1454",,single pair
"0.1304, 0.6791",,single pair
"0.1354, 0.8270",,single pair
"0.1474, 0.2494",,single pair
"0.1394, 0.6465",,single pair
"0.1374, 0.9250",,single pair
"0.1482, 0.4267",,single pair
"0.1531, 0.07611",,single pair
"0.1426, 0.7473",,single pair
"0.1424, 0.7908",,single pair
"0.1554, 0.3432",,single pair
"0.1533, 0.3814",,single pair
"0.1491, 0.5242",,single pair
"0.1642, 0.1954",,single pair
"0.1487, 0.2186",,single pair
"0.1532, 0.4685",,single pair
"0.1545, 0.5642",,single pair
"0.1608, 0.3019",,single pair
"0.1547, 0.8554",,single pair
"0.1621, 0.1520",,single pair
"0.1554, 0.6070",,single pair
"0.1559, 0.6765",,single pair
"0.1673, 0.5048",,single pair
"0.1618, 0.8226",,single pair
"0.1577, 0.8967",,single pair
"0.1739, 0.2483",,single pair
"0.1677, 0.6323",,single pair
"0.1587, 0.9385",,single pair
"0.1762, 0.05297",,single pair
"0.1727, 0.4298",,single pair
"0.1783, 0.1170",,single pair
"0.1653, 0.7294",,single pair
"0.1658, 0.7741",,single pair
"0.1675, 0.7011",,single pair
"0.1725, 0.8037",,single pair
"0.1831, 0.08153",,single pair
"0.1773, 0.3481",,single pair
"0.1779, 0.3800",,single pair
"0.1798, 0.5475",,single pair
"0.1881, 0.1936",,single pair
"0.1873, 0.2915",,single pair
"0.1821, 0.5772",,single pair
"0.1887, 0.1546",,single pair
"0.1880, 0.4707",,single pair
"0.1906, 0.5052",,single pair
"0.1897, 0.5912",,single pair
"0.1848, 0.8772",,single pair
"0.1872, 0.8302",,single pair
"0.1864, 0.9286",,single pair
"0.1838, 0.9645",,single pair
"0.1963, 0.4247",,single pair
"0.2016, 0.1174",,single pair
"0.1936, 0.7651",,single pair
"0.1904, 0.6635",,single pair
"0.1971, 0.7169",,single pair
"0.1991, 0.7953",,single pair
"0.2078, 0.06244",,single pair
"0.2091, 0.08984",,single pair
"0.2056, 0.2369",,single pair
"0.2109, 0.01972",,single pair
"0.2030, 0.6229",,single pair
"0.2037, 0.3913",,single pair
"0.2146, 0.1794",,single pair
"0.2137, 0.2747",,single pair
"0.2130, 0.3411",,single pair
"0.2166, 0.1500",,single pair
"0.2162, 0.4819",,single pair
"0.2108, 0.5343",,single pair
"0.2170, 0.5805",,single pair
"0.2195, 0.3136",,single pair
"0.2102, 0.9475",,single pair
"0.2214, 0.4326",,single pair
"0.2045, 0.8505",,single pair
"0.2090, 0.9079",,single pair
"0.2107, 0.9857",,single pair
"0.2309, 0.1302",,single pair
"0.2210, 0.7803",,single pair
"0.2158, 0.8788",,single pair
"0.2326, 0.05674",,single pair
"0.2341, 0.2166",,single pair
"0.2389, 0.003099",,single pair
"0.2290, 0.5537",,single pair
"0.2259, 0.6355",,single pair
"0.2186, 0.6737",,single pair
"0.2395, 0.09447",,single pair
"0.2348, 0.3765",,single pair
"0.2261, 0.4091",,single pair
"0.2261, 0.7168",,single pair
"0.2196, 0.7528",,single pair
"0.2274, 0.8185",,single pair
"0.2440, 0.1808",,single pair
"0.2392, 0.3462",,single pair
"0.2415, 0.4997",,single pair
"0.2379, 0.5342",,single pair
"0.2374, 0.6016",,single pair
"0.2461, 0.3122",,single pair
"0.2466, 0.2758",,single pair
"0.2463, 0.4446",,single pair
"0.2375, 0.9052",,single pair
"0.2385, 0.9498",,single pair
"0.2350, 0.9939",,single pair
"0.2576, 0.03953",,single pair
"0.2593, 0.2277",,single pair
"0.2632, -0.004494",,single pair
"0.2494, 0.6471",,single pair
"0.2505, 0.8780",,single pair
"0.2646, 0.09571",,single pair
"0.2599, 0.1622",,single pair
"0.2582, 0.3881",,single pair
"0.2546, 0.7170",,single pair
"0.2444, 0.7579",,single pair
"0.2512, 0.8044",,single pair
"0.2556, 0.6778",,single pair
"0.2685, 0.1420",,single pair
"0.2608, 0.4258",,single pair
"0.2623, 0.4834",,single pair
"0.2652, 0.5303",,single pair
"0.2616, 0.5962",,single pair
"0.2718, 0.3046",,single pair
"0.2657, 0.8517",,single pair
"0.2757, 0.2694",,single pair
"0.2589, 0.9539",,single pair
"0.2606, 0.9858",,single pair
"0.2629, 1.014",,single pair
"0.2841, 0.06075",,single pair
"0.2747, 0.3498",,single pair
"0.2756, 0.4455",,single pair
"0.2816, 0.02133",,single pair
"0.2815, 0.2227",,single pair
"0.2650, 0.6430",,single pair
"0.2831, 0.7102",,single pair
"0.2710, 0.7508",,single pair
"0.2736, 0.8086",,single pair
"0.2751, 0.9032",,single pair
"0.2923, 0.0007758",,single pair
"0.2828, 0.6747",,single pair
"0.2992, -0.02455",,single pair
"0.2949, 0.1473",,single pair
"0.2882, 0.4105",,single pair
"0.2896, 0.4860",,single pair
"0.2850, 0.5771",,single pair
"0.2881, 0.7748",,single pair
"0.2996, 0.2933",,single pair
"0.2845, 0.8597",,single pair
"0.2999, 0.1849",,single pair
"0.2960, 0.2575",,single pair
"0.2914, 0.6149",,single pair
"0.2871, 0.9924",,single pair
"0.2848, 1.022",,single pair
"0.3087, 0.08145",,single pair
"0.2901, 0.9438",,single pair
"0.3037, 0.3609",,single pair
"0.3033, 0.3333",,single pair
"0.3057, 0.5313",,single pair
"0.3119, 0.2387",,single pair
"0.3053, 0.4520",,single pair
"0.2955, 0.8160",,single pair
"0.2989, 0.9034",,single pair
"0.3191, 0.02214",,single pair
"0.3079, 0.6692",,single pair
"0.3189, -0.04022",,single pair
"0.3160, 0.1201",,single pair
"0.3213, 0.2153",,single pair
"0.3117, 0.4064",,single pair
"0.3175, 0.4359",,single pair
"0.3099, 0.5837",,single pair
"0.3079, 0.7024",,single pair
"0.3122, 0.7709",,single pair
"0.3145, 0.8697",,single pair
"0.3257, 0.1852",,single pair
"0.3272, 0.2719",,single pair
"0.3205, 0.4823",,single pair
"0.3178, 0.6286",,single pair
"0.3142, 0.7353",,single pair
"0.3137, 0.8314",,single pair
"0.3145, 0.9904",,single pair
"0.3151, 0.9352",,single pair
"0.3368, -0.01079",,single pair
"0.3316, 0.3754",,single pair
"0.3252, 0.3179",,single pair
"0.3274, 0.3517",,single pair
"0.3356, 0.1440",,single pair
"0.3205, 1.032",,single pair
"0.3356, 0.2916",,single pair
"0.3184, 0.8000",,single pair
"0.3398, 0.04505",,single pair
"0.3482, -0.03943",,single pair
"0.3377, 0.1009",,single pair
"0.3452, 0.2152",,single pair
"0.3389, 0.4211",,single pair
"0.3346, 0.5448",,single pair
"0.3403, 0.5830",,single pair
"0.3378, 0.6738",,single pair
"0.3333, 0.7144",,single pair
"0.3566, 0.07859",,single pair
"0.3372, 0.8830",,single pair
"0.3525, 0.1759",,single pair
"0.3478, 0.2556",,single pair
"0.3448, 0.4944",,single pair
"0.3431, 0.6163",,single pair
"0.3448, 0.7346",,single pair
"0.3397, 0.7716",,single pair
"0.3419, 0.9387",,single pair
"0.3586, -0.005463",,single pair
"0.3488, 0.4583",,single pair
"0.3390, 0.9897",,single pair
"0.3592, 0.3666",,single pair
"0.3650, 0.1397",,single pair
"0.3447, 1.035",,single pair
"0.3620, 0.3116",,single pair
"0.3673, 0.03346",,single pair
"0.3562, 0.7878",,single pair
"0.3703, 0.2257",,single pair
"0.3644, 0.4153",,single pair
"0.3757, -0.05062",,single pair
"0.3646, 0.5617",,single pair
"0.3631, 0.6609",,single pair
"0.3568, 1.053",,single pair
"0.3771, 0.07131",,single pair
"0.3707, 0.2860",,single pair
"0.3550, 0.8409",,single pair
"0.3707, 0.5126",,single pair
"0.3693, 0.6060",,single pair
"0.3619, 0.7252",,single pair
"0.3631, 0.8913",,single pair
"0.3679, 0.9483",,single pair
"0.3849, -0.002729",,single pair
"0.3789, 0.1798",,single pair
"0.3724, 0.4817",,single pair
"0.3668, 0.9840",,single pair
"0.3863, 0.1257",,single pair
"0.3737, 0.7645",,single pair
"0.3723, 1.013",,single pair
"0.3943, 0.2095",,single pair
"0.3914, 0.4172",,single pair
"0.3852, 0.6875",,single pair
"0.4023, -0.05140",,single pair
"0.3914, 0.5611",,single pair
"0.3880, 0.9235",,single pair
"0.3826, 1.049",,single pair
"0.4059, 0.07012",,single pair
"0.3967, 0.2559",,single pair
"0.3971, 0.3111",,single pair
"0.3808, 0.8362",,single pair
"0.3955, 0.3691",,single pair
"0.3982, 0.5123",,single pair
"0.3924, 0.6222",,single pair
"0.3960, 0.6681",,single pair
"0.3827, 0.7299",,single pair
"0.3875, 0.8843",,single pair
"0.4124, 0.001313",,single pair
"0.4017, 0.03448",,single pair
"0.4016, 0.4707",,single pair
"0.3937, 0.9615",,single pair
"0.4089, -0.02949",,single pair
"0.4083, 0.1095",,single pair
"0.4032, 0.4420",,single pair
"0.4027, 0.7525",,single pair
"0.3976, 1.014",,single pair
"0.4161, 0.1734",,single pair
"0.4202, 0.2131",,single pair
"0.4171, 0.4093",,single pair
"0.4069, 0.8081",,single pair
"0.4301, -0.06102",,single pair
"0.4184, 0.5623",,single pair
"0.4059, 1.063",,single pair
"0.4224, 0.2624",,single pair
"0.4217, 0.3155",,single pair
"0.4148, 0.3640",,single pair
"0.4231, 0.5291",,single pair
"0.4175, 0.6140",,single pair
"0.4222, 0.6640",,single pair
"0.4136, 0.7102",,single pair
"0.4124, 0.8519",,single pair
"0.4155, 0.8949",,single pair
"0.4350, 0.03241",,single pair
"0.4176, 0.9693",,single pair
"0.4375, -0.02538",,single pair
"0.4366, 0.07943",,single pair
"0.4178, 0.9281",,single pair
"0.4334, 0.1118",,single pair
"0.4307, 0.4439",,single pair
"0.4246, 1.023",,single pair
"0.4433, 0.1555",,single pair
"0.4542, -0.001935",,single pair
"0.4361, 0.2293",,single pair
"0.4402, 0.4030",,single pair
"0.4511, -0.06651",,single pair
"0.4435, 0.4587",,single pair
"0.4269, 1.052",,single pair
"0.4457, 0.2553",,single pair
"0.4495, 0.3044",,single pair
"0.4428, 0.3468",,single pair
"0.4382, 0.3684",,single pair
"0.4369, 0.7861",,single pair
"0.4463, 0.5137",,single pair
"0.4457, 0.5924",,single pair
"0.4426, 0.6300",,single pair
"0.4424, 0.6952",,single pair
"0.4436, 0.8415",,single pair
"0.4412, 0.8994",,single pair
"0.4417, 0.7381",,single pair
"0.4588, 0.06731",,single pair
"0.4375, 0.8701",,single pair
"0.4444, 0.9708",,single pair
"0.4646, -0.03768",,single pair
"0.4511, 0.6522",,single pair
"0.4633, 0.1039",,single pair
"0.4483, 0.9267",,single pair
"0.4488, 1.033",,single pair
"0.4676, 0.1689",,single pair
"0.4558, 0.4501",,single pair
"0.4549, 0.5560",,single pair
"0.4556, 0.9821",,single pair
"0.4745, 0.01136",,single pair
"0.4775, -0.06836",,single pair
"0.4691, 0.4811",,single pair
"0.4768, 0.2346",,single pair
"0.4740, 0.3170",,single pair
"0.4676, 0.3525",,single pair
"0.4643, 0.3878",,single pair
"0.4607, 0.5279",,single pair
"0.4673, 0.7977",,single pair
"0.4679, 0.8393",,single pair
"0.4657, 0.9025",,single pair
"0.4681, 0.5785",,single pair
"0.4698, 0.6997",,single pair
"0.4672, 0.7476",,single pair
"0.4823, 0.1438",,single pair
"0.4679, 0.8694",,single pair
"0.4770, 0.6499",,single pair
"0.4918, -0.02272",,single pair
"0.4882, 0.09291",,single pair
"0.4737, 0.9651",,single pair
"0.4745, 1.036",,single pair
"0.4813, 0.6148",,single pair
"0.4773, 0.5596",,single pair
"0.4971, 0.01655",,single pair
"0.4929, 0.2743",,single pair
"0.5020, -0.06755",,single pair
"0.5001, 0.2403",,single pair
"0.4964, 0.3451",,single pair
"0.4924, 0.3763",,single pair
"0.4896, 0.4468",,single pair
"0.4893, 0.9371",,single pair
"0.4892, 1.007",,single pair
"0.4961, 0.7123",,single pair
"0.4937, 0.9021",,single pair
"0.5068, 0.1218",,single pair
"0.5049, 0.1825",,single pair
