x,y,label
"-0.012094, 0.48142",,1
"0.0074400, 0.56290",,1
"-0.0048719, 0.51087",,1
"-0.016583, 0.45636",,1
"0.0020396, 0.53638",,1
"-0.024067, 0.40773",,1
"0.018637, 0.58940",,1
"-0.0014853, 0.52332",,1
"-0.016557, 0.43075",,1
"0.030154, 0.61732",,1
"-0.018676, 0.38534",,1
"0.044905, 0.64672",,1
"-0.018926, 0.36364",,1
"0.037059, 0.61707",,1
"0.015400, 0.49529",,1
"0.056059, 0.67303",,1
"0.034447, 0.57462",,1
"0.010012, 0.46882",,1
"0.0062532, 0.44444",,1
"0.030500, 0.54939",,1
"0.025225, 0.52343",,1
"0.045828, 0.60193",,1
"0.0060275, 0.41771",,1
"-0.012445, 0.33836",,1
"0.074534, 0.70608",,1
"0.0050475, 0.38764",,1
"0.062380, 0.63031",,1
"0.032268, 0.52379",,1
"-0.011510, 0.29362",,1
"-0.0057906, 0.31642",,1
"0.071978, 0.65248",,1
"0.018735, 0.40820",,1
"0.079288, 0.68343",,1
"0.0094557, 0.36602",,1
"0.092740, 0.73023",,1
"0.061985, 0.58354",,1
"0.043128, 0.49992",,1
"0.036302, 0.46965",,1
"0.056456, 0.55388",,1
"0.030698, 0.43965",,1
"-0.0045953, 0.27284",,1
"0.053106, 0.52616",,1
"0.026721, 0.40657",,1
"0.014445, 0.34184",,1
"0.10885, 0.75538",,1
"0.077468, 0.61104",,1
"0.10175, 0.70587",,1
"0.014366, 0.30805",,1
"0.097262, 0.67053",,1
"0.034076, 0.38774",,1
"0.0041478, 0.24987",,1
"0.12432, 0.77764",,1
"0.093854, 0.63997",,1
"0.11651, 0.73017",,1
"0.049277, 0.42170",,1
"0.084142, 0.56861",,1
"0.063323, 0.47885",,1
"0.057492, 0.45042",,1
"0.037576, 0.36467",,1
"0.080338, 0.54145",,1
"0.022123, 0.28327",,1
"0.073627, 0.51168",,1
"0.034510, 0.32792",,1
"0.096150, 0.59099",,1
"0.015219, 0.23208",,1
"0.13428, 0.75494",,1
"0.12094, 0.69320",,1
"0.064497, 0.45061",,1
"0.028020, 0.26202",,1
"0.14679, 0.78725",,1
"0.10931, 0.61591",,1
"0.15546, 0.81283",,1
"0.018785, 0.20673",,1
"0.12445, 0.66759",,1
"0.13656, 0.71616",,1
"0.065984, 0.40061",,1
"0.022086, 0.23166",,1
"0.089122, 0.49550",,1
"0.083161, 0.46649",,1
"0.045868, 0.30368",,1
"0.12460, 0.64255",,1
"0.078301, 0.43465",,1
"0.057949, 0.34439",,1
"0.039347, 0.25675",,1
"0.10306, 0.53415",,1
"0.11112, 0.56735",,1
"0.067151, 0.37234",,1
"0.17188, 0.83165",,1
"0.15804, 0.76770",,1
"0.15430, 0.73824",,1
"0.089839, 0.46524",,1
"0.041253, 0.22404",,1
"0.17232, 0.80015",,1
"0.054717, 0.28118",,1
"0.049663, 0.25105",,1
"0.15536, 0.71209",,1
"0.15006, 0.68558",,1
"0.12965, 0.59548",,1
"0.039164, 0.19419",,1
"0.18925, 0.85208",,1
"0.069404, 0.32059",,1
"0.093626, 0.41771",,1
"0.11729, 0.51239",,1
"0.11077, 0.48089",,1
"0.040339, 0.17321",,1
"0.15131, 0.65809",,1
"0.14569, 0.62804",,1
"0.10630, 0.45077",,1
"0.091884, 0.39198",,1
"0.12971, 0.54944",,1
"0.086504, 0.35526",,1
"0.19403, 0.82439",,1
"0.15701, 0.68593",,1
"0.046245, 0.19473",,1
"0.18433, 0.77881",,1
"0.18091, 0.75079",,1
"0.080498, 0.29799",,1
"0.074581, 0.26894",,1
"0.21317, 0.87325",,1
"0.064555, 0.21418",,1
"0.15384, 0.60498",,1
"0.14860, 0.57660",,1
"0.072957, 0.24116",,1
"0.21080, 0.84731",,1
"0.18311, 0.72449",,1
"0.056231, 0.15669",,1
"0.12062, 0.43197",,1
"0.20557, 0.80353",,1
"0.18789, 0.75087",,1
"0.18138, 0.69627",,1
"0.13673, 0.49825",,1
"0.10906, 0.37554",,1
"0.099105, 0.33139",,1
"0.14414, 0.52595",,1
"0.067715, 0.18961",,1
"0.081662, 0.26947",,1
"0.17800, 0.66841",,1
"0.13205, 0.46463",,1
"0.071535, 0.21427",,1
"0.17392, 0.64001",,1
"0.15571, 0.57729",,1
"0.20961, 0.77516",,1
"0.23612, 0.89013",,1
"0.16044, 0.55194",,1
"0.12787, 0.40749",,1
"0.068474, 0.13895",,1
"0.20805, 0.74766",,1
"0.10870, 0.30962",,1
"0.10184, 0.27662",,1
"0.22858, 0.83356",,1
"0.091841, 0.22199",,1
"0.080491, 0.17126",,1
"0.23751, 0.86545",,1
"0.18012, 0.61348",,1
"0.098924, 0.24786",,1
"0.12307, 0.35277",,1
"0.17549, 0.58010",,1
"0.20847, 0.71864",,1
"0.22885, 0.80388",,1
"0.21674, 0.77592",,1
