x,y,label
0.6388,-0.1814,vdj_nextgem_hs_pbmc3
0.5621,-0.1705,vdj_nextgem_hs_pbmc4
0.6819,-0.1704,vdj_nextgem_hs_pbmc5
0.4971,-0.1658,vdj_nextgem_hs_pbmc6
0.6318,-0.1619,vdj_nextgem_hs_pbmc7
0.472,-0.138,vdj_nextgem_hs_pbmc8
0.3865,-0.1363,vdj_nextgem_hs_pbmc9
0.5444,-0.1301,vdj_nextgem_hs_pbmc10
0.7236,-0.1307,vdj_nextgem_hs_pbmc11
0.8509,-0.138,vdj_nextgem_hs_pbmc12
0.4575,-0.1018,vdj_nextgem_hs_pbmc13
0.8916,-0.1178,vdj_nextgem_hs_pbmc14
0.3163,-0.09218,vdj_nextgem_hs_pbmc15
0.5638,-0.09607,vdj_nextgem_hs_pbmc16
0.6603,-0.1031,vdj_nextgem_hs_pbmc17
0.7263,-0.09328,vdj_nextgem_hs_pbmc18
0.3604,-0.07328,vdj_nextgem_hs_pbmc19
0.7855,-0.08615,vdj_nextgem_hs_pbmc20
0.448,-0.06735,vdj_nextgem_hs_pbmc21
0.8856,-0.08154,vdj_nextgem_hs_pbmc22
0.2468,-0.04662,vdj_nextgem_hs_pbmc23
0.2949,-0.05149,vdj_nextgem_hs_pbmc24
0.4738,-0.05928,vdj_nextgem_hs_pbmc25
0.9562,-0.07281,vdj_nextgem_hs_pbmc26
0.6875,-0.06528,vdj_nextgem_hs_pbmc27
0.7538,-0.06001,vdj_nextgem_hs_pbmc28
0.7349,-0.04854,vdj_nextgem_hs_pbmc29
0.7933,-0.05292,vdj_nextgem_hs_pbmc30
0.6058,-0.0447,vdj_nextgem_hs_pbmc31
0.4154,-0.03383,vdj_nextgem_hs_pbmc32
0.5568,-0.02789,vdj_nextgem_hs_pbmc33
0.8955,-0.04239,vdj_nextgem_hs_pbmc34
0.4882,-0.01784,vdj_nextgem_hs_pbmc35
0.6587,-0.01991,vdj_nextgem_hs_pbmc36
0.1997,0.0005887,vdj_nextgem_hs_pbmc37
0.7352,-0.02362,vdj_nextgem_hs_pbmc38
0.9674,-0.03324,vdj_nextgem_hs_pbmc39
0.2895,0.002968,vdj_nextgem_hs_pbmc40
0.3384,0.006544,vdj_nextgem_hs_pbmc41
0.5163,-0.008687,vdj_nextgem_hs_pbmc42
0.2306,0.01048,vdj_nextgem_hs_pbmc43
0.3966,-0.001295,vdj_nextgem_hs_pbmc44
0.8491,-0.02204,vdj_nextgem_hs_pbmc45
0.5525,0.009743,vdj_nextgem_hs_pbmc46
0.4429,0.02201,vdj_nextgem_hs_pbmc47
0.6596,0.008684,vdj_nextgem_hs_pbmc48
0.7912,0.004637,vdj_nextgem_hs_pbmc49
0.1724,0.03281,vdj_nextgem_hs_pbmc50
0.7094,0.01744,vdj_nextgem_hs_pbmc51
0.8924,0.006145,vdj_nextgem_hs_pbmc52
0.9726,0.006003,vdj_nextgem_hs_pbmc53
0.2833,0.0394,vdj_nextgem_hs_pbmc54
0.3447,0.03588,vdj_nextgem_hs_pbmc55
0.4924,0.01657,vdj_nextgem_hs_pbmc56
0.8393,0.02527,vdj_nextgem_hs_pbmc57
0.5415,0.03874,vdj_nextgem_hs_pbmc58
0.2266,0.05222,vdj_nextgem_hs_pbmc59
0.4478,0.04849,vdj_nextgem_hs_pbmc60
0.6772,0.03888,vdj_nextgem_hs_pbmc61
1.026,0.02643,vdj_nextgem_hs_pbmc62
0.9671,0.02183,vdj_nextgem_hs_pbmc63
0.9177,0.04658,vdj_nextgem_hs_pbmc64
0.6202,0.05845,vdj_nextgem_hs_pbmc65
1.056,0.03754,vdj_nextgem_hs_pbmc66
0.1065,0.08701,vdj_nextgem_hs_pbmc67
0.7066,0.06625,vdj_nextgem_hs_pbmc68
0.135,0.1024,vdj_nextgem_hs_pbmc69
0.7797,0.05663,vdj_nextgem_hs_pbmc70
0.3204,0.09126,vdj_nextgem_hs_pbmc71
0.4555,0.08612,vdj_nextgem_hs_pbmc72
0.8631,0.06735,vdj_nextgem_hs_pbmc73
0.4016,0.09062,vdj_nextgem_hs_pbmc74
0.1702,0.1047,vdj_nextgem_hs_pbmc75
0.998,0.06439,vdj_nextgem_hs_pbmc76
0.5956,0.08676,vdj_nextgem_hs_pbmc77
0.5204,0.08745,vdj_nextgem_hs_pbmc78
0.9035,0.06259,vdj_nextgem_hs_pbmc79
0.9501,0.07277,vdj_nextgem_hs_pbmc80
1.051,0.07432,vdj_nextgem_hs_pbmc81
0.07819,0.1107,vdj_nextgem_hs_pbmc82
0.5518,0.09193,vdj_nextgem_hs_pbmc83
0.2801,0.1068,vdj_nextgem_hs_pbmc84
0.732,0.0951,vdj_nextgem_hs_pbmc85
0.3472,0.1231,vdj_nextgem_hs_pbmc86
0.4823,0.1029,vdj_nextgem_hs_pbmc87
0.844,0.09699,vdj_nextgem_hs_pbmc88
0.6965,0.1112,vdj_nextgem_hs_pbmc89
0.2323,0.1352,vdj_nextgem_hs_pbmc90
1.007,0.1039,vdj_nextgem_hs_pbmc91
0.6767,0.1189,vdj_nextgem_hs_pbmc92
0.9489,0.107,vdj_nextgem_hs_pbmc93
0.6053,0.1259,vdj_nextgem_hs_pbmc94
0.8001,0.1209,vdj_nextgem_hs_pbmc95
0.4167,0.1417,vdj_nextgem_hs_pbmc96
0.03546,0.1601,vdj_nextgem_hs_pbmc97
0.2815,0.1429,vdj_nextgem_hs_pbmc98
0.3322,0.1614,vdj_nextgem_hs_pbmc99
0.2122,0.1598,vdj_nextgem_hs_pbmc100
0.5032,0.1545,vdj_nextgem_hs_pbmc101
0.7529,0.1422,vdj_nextgem_hs_pbmc102
1.007,0.1328,vdj_nextgem_hs_pbmc103
0.9063,0.1391,vdj_nextgem_hs_pbmc104
0.6383,0.1547,vdj_nextgem_hs_pbmc105
0.8407,0.153,vdj_nextgem_hs_pbmc106
0.1609,0.1891,vdj_nextgem_hs_pbmc107
0.4063,0.1799,vdj_nextgem_hs_pbmc108
0.02074,0.202,vdj_nextgem_hs_pbmc109
0.3673,0.1717,vdj_nextgem_hs_pbmc110
0.8643,0.1563,vdj_nextgem_hs_pbmc111
